,id,location,region,property_type,price,area_cent,price_per_cent,sea_distance_band_fine,distance_to_nearest_beach_km,nearest_beach_name,source_url,latitude,longitude
0,https://www.facebook.com/groups/215499289237549/posts/1774844606636335/?_rdr,Vettuthura,North_of_Puthenthope,plot,34775000,107,325000,0.5-1 km,0.96,Vettuthura Beach,https://www.facebook.com/groups/215499289237549/posts/1774844606636335/?_rdr,8.5865,76.8257
1,https://www.olx.in/en-in/item/lands-plots-c1729-for-sale-10-sq-yd-in-kadinamkulam-thiruvananthapuram-iid-1811415068,Kadinamkulam,North_of_Puthenthope,plot,2500000,10,250000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.olx.in/en-in/item/lands-plots-c1729-for-sale-10-sq-yd-in-kadinamkulam-thiruvananthapuram-iid-1811415068,8.6029,76.8179
2,https://www.99acres.com/residential-land-plot-for-sale-in-kadinamkulam-trivandrum-1210-sq-yard-spid-T82196012,Kadinamkulam,North_of_Puthenthope,plot,12500000,25,500000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.99acres.com/residential-land-plot-for-sale-in-kadinamkulam-trivandrum-1210-sq-yard-spid-T82196012,8.6029,76.8179
3,https://www.keralarealestate.com/details-50cents-land-for-sale-in-kadinamkulamtrivandrum,Kadinamkulam,North_of_Puthenthope,plot,22500000,50,450000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.keralarealestate.com/details-50cents-land-for-sale-in-kadinamkulamtrivandrum,8.6029,76.8179
4,https://www.realestateindia.com/property-detail/residential-plot-for-sale-in-kadinamkulam-thiruvananthapuram-13-cent-52-lac-1285955.htm,Kadinamkulam,North_of_Puthenthope,plot,5200000,13,400000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.realestateindia.com/property-detail/residential-plot-for-sale-in-kadinamkulam-thiruvananthapuram-13-cent-52-lac-1285955.htm,8.6029,76.8179
5,https://divinelands.com/property/40-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,Kadinamkulam,North_of_Puthenthope,plot,11000000,40,275000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/40-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,8.6029,76.8179
6,https://www.99acres.com/residential-land-plot-for-sale-in-perumathura-trivandrum-0-sq-yard-spid-J83193952,Perumathura,North_of_Puthenthope,plot,35000000,200,175000,0.5-1 km,0.58,Perumathura Beach,https://www.99acres.com/residential-land-plot-for-sale-in-perumathura-trivandrum-0-sq-yard-spid-J83193952,8.6252,76.8
7,https://divinelands.com/property/1-37-acre-lake-front-land-for-sale-in-perumathura-trivandrum/,Perumathura,North_of_Puthenthope,plot,51400000,137,375182.48,0.5-1 km,0.58,Perumathura Beach,https://divinelands.com/property/1-37-acre-lake-front-land-for-sale-in-perumathura-trivandrum/,8.6252,76.8
8,https://divinelands.com/property/5-cent-residential-land-for-sale-in-perumathura-trivandrum/,Perumathura,North_of_Puthenthope,plot,1875000,5,375000,0.5-1 km,0.58,Perumathura Beach,https://divinelands.com/property/5-cent-residential-land-for-sale-in-perumathura-trivandrum/,8.6252,76.8
9,https://divinelands.com/property/80-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,Kadinamkulam,North_of_Puthenthope,plot,18000000,80,225000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/80-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,8.6029,76.8179
10,https://divinelands.com/property/60-cents-lakefront-land-for-sale-near-perumathura-trivandrum/,Kadinamkulam,North_of_Puthenthope,plot,14400000,60,240000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/60-cents-lakefront-land-for-sale-near-perumathura-trivandrum/,8.6029,76.8179
11,https://divinelands.com/property/2-5-acre-lakefront-land-for-sale-in-channankara-kaniyapuram-near-technopark/,Kadinamkulam,North_of_Puthenthope,plot,75000000,250,300000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/2-5-acre-lakefront-land-for-sale-in-channankara-kaniyapuram-near-technopark/,8.6029,76.8179
12,https://divinelands.com/property/8-acre-waterfront-land-for-sale-in-kadinamkulam-near-technopark/,Kadinamkulam,North_of_Puthenthope,plot,240000000,800,300000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/8-acre-waterfront-land-for-sale-in-kadinamkulam-near-technopark/,8.6029,76.8179
13,https://www.keralarealestate.com/details-57246-2-BHK-Independent-House-Villa-Bungalow-at-Thiruvananthapuram-corporation-Thiruvananthapuram,Vettuthura,North_of_Puthenthope,plot,6500000,28,232142.86,0.5-1 km,0.96,Vettuthura Beach,https://www.keralarealestate.com/details-57246-2-BHK-Independent-House-Villa-Bungalow-at-Thiruvananthapuram-corporation-Thiruvananthapuram,8.5865,76.8257
14,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,7000000,10,700000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-484-sq-yard-r1-spid-Y80218247,8.7379,76.7178
15,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,10800000,36,300000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-1742-sq-yard-spid-W83699318,8.7379,76.7178
16,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,2755000,2.17,1269585.25,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-105-sq-yard-spid-L83408230,8.7379,76.7178
17,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,9800000,20,490000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-968-sq-yard-spid-V83372526,8.7379,76.7178
18,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,12000000,60,200000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-2904-sq-yard-spid-N83351530,8.7379,76.7178
19,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,2500000,2.76,905797.1,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-133-sq-yard-spid-I82710906,8.7379,76.7178
20,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,8200000,55,149090.91,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-2662-sq-yard-spid-W82080842,8.7379,76.7178
21,"Residential land / Plot in Nadayara, Trivandrum",Varkala,Varkala,plot,7000000,48.97,142944.66,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-nadayara-trivandrum-2368-sq-yard-spid-X82067572,8.7379,76.7178
22,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,11200000,56,200000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-2710-sq-yard-spid-W78802733,8.7379,76.7178
23,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,84000000,70,1200000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-3388-sq-yard-r2-spid-Y63750226,8.7379,76.7178
24,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,70000000,100,700000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-4840-sq-yard-spid-F74186081,8.7379,76.7178
25,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,9297000,10.33,900000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-in-varkala-trivandrum-ffid?tabStructure=N&groupByFloorPlan=false,8.7379,76.7178
26,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,2000000,10,200000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-484-sq-yard-spid-G83803406,8.7379,76.7178
27,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,2000000,13,153846.15,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-629-sq-yard-spid-U83315786,8.7379,76.7178
28,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,840000,7,120000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-339-sq-yard-r3-spid-R76116771,8.7379,76.7178
29,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,5800000,14,414285.71,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-678-sq-yard-r1-spid-F70909770,8.7379,76.7178
30,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,3000000,15,200000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-726-sq-yard-spid-T82350530,8.7379,76.7178
31,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,20000000,48.99,408246.58,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-2371-sq-yard-spid-K82322412,8.7379,76.7178
32,"Residential land / Plot in Janardhanapuram, Trivandrum",Varkala,Varkala,plot,2340000,6,390000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-janardhanapuram-trivandrum-1-sq-yard-r1-spid-T78286045,8.7379,76.7178
33,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,8400000,24,350000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-3-sq-yard-r6-spid-S49455219,8.7379,76.7178
34,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,7700000,28,275000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-1355-sq-yard-r1-spid-M77798235,8.7379,76.7178
35,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,12700000,127,100000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-14-sq-yard-spid-A79954447,8.7379,76.7178
36,"Residential land / Plot in Varkala, Trivandrum",Varkala,Varkala,plot,22000000,44,500000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-2130-sq-yard-spid-V79692099,8.7379,76.7178
37,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-4695-sq-yard-r1-spid-V79836591,Varkala,Varkala,plot,32500000,97,335051.55,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-4695-sq-yard-r1-spid-V79836591,8.7379,76.7178
38,"3 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,8500000,10,850000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-2000-sq-ft-spid-L82283820,8.7379,76.7178
39,"3 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,70000000,70,1000000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-30492-sq-ft-spid-Y79559549,8.7379,76.7178
40,"3 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,4600000,3.21,1433021.81,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-1400-sq-ft-r1-spid-A66821260,8.7379,76.7178
41,"3 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,8000000,20,400000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-2100-sq-ft-r1-spid-N81640547,8.7379,76.7178
42,"4 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,7500000,11,681818.18,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-1800-sq-ft-r1-spid-E81640199,8.7379,76.7178
43,"3 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,9000000,22.45,400890.87,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-9779-sq-ft-r1-spid-B77593067,8.7379,76.7178
44,"3 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,14000000,10,1400000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-4356-sq-ft-spid-W82382820,8.7379,76.7178
45,"5 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,9000000,18,500000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-3000-sq-ft-r1-spid-A78737587,8.7379,76.7178
46,"4 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,8000000,10,800000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-4356-sq-ft-spid-P81607781,8.7379,76.7178
47,"4 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,7000000,3.44,2034883.72,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-1500-sq-ft-spid-H81306163,8.7379,76.7178
48,"5 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,30000000,40,750000,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-17424-sq-ft-r1-spid-B76838201,8.7379,76.7178
49,"3 Bedroom House in Varkala, Trivandrum",Varkala,Varkala,property,4900000,6,816666.67,0-0.5 km,0,Varkala Cliff,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-varkala-trivandrum-2614-sq-ft-spid-Y67733846,8.7379,76.7178
50,TS890115,"Standrews, Near Menamkulam, Kazhakkoottam, Trivandrum",North_of_Puthenthope,plot,2750000,5,550000,0.5-1 km,0.64,St Andrews Beach,https://www.thithithara.com/property/5-cent-residential-plot-for-sale-in-standrews-near-menumkulam-kazhakkoottam-TS890115,8.5639,76.8443
51,P826418,"Fathimapuram, Kazhakoottam, Trivandrum",North_of_Puthenthope,plot,23000000,50,460000,0.5-1 km,0.64,St Andrews Beach,https://www.helloaddress.com/trivandrum/50-cent-residential-land-for-sale-fathimapuram/P826418/en,8.5639,76.8443
52,JK-StA15c,"St Andrews, Kazhakkoottam, Trivandrum",North_of_Puthenthope,plot,6000000,15,400000,0.5-1 km,0.64,St Andrews Beach,https://www.justkerala.com/15-cent-plot-in-st-andrews-kazhakootam-ic06,8.5639,76.8443
53,KR-StA15cBuild,"St Andrews (Near Kazhakkoottam), Trivandrum",North_of_Puthenthope,property,15000000,15,1000000,0.5-1 km,0.64,St Andrews Beach,https://old.keralarealestate.com/details-15-cents-with-rental-building,8.5639,76.8443
54,99acres-Puth40c,"Puthenthope, Thiruvananthapuram",North_of_Puthenthope,plot,20000000,40,500000,0-0.5 km,0,Puthenthope Beach,https://www.99acres.com/residential-land-in-puthenthope-trivandrum-ffid,8.5767,76.8368
55,99acres-Chitta11cHouse,"Chittattumukku (Menamkulam), Trivandrum",North_of_Puthenthope,property,15000000,5.74,2613600,0.5-1 km,0.64,St Andrews Beach,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-menamkulam-trivandrum-2500-sq-ft-spid-G83765264,8.5639,76.8443
56,Housing-Kani1500sf,"Kaniyapuram, Trivandrum",North_of_Puthenthope,plot,4200000,3.44,1219680,2-5 km,2.01,Puthenthope Beach,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,8.584,76.852
57,Housing-Kani220sqm,"Kaniyapuram, Trivandrum",North_of_Puthenthope,plot,1650000,5.44,303521.96,2-5 km,2.01,Puthenthope Beach,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,8.584,76.852
58,Housing-Menam4356,"Menamkulam, Trivandrum",North_of_Puthenthope,plot,10500000,10,1050000,2-5 km,2.18,St Andrews Beach,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,8.5646,76.8593
59,Housing-Menam4355,"Menamkulam, Trivandrum",North_of_Puthenthope,plot,480000,10,48011.02,2-5 km,2.18,St Andrews Beach,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,8.5646,76.8593
60,MB-4BHKvilla2Cr,"Kaniyapuram (Near Puthenthope Beach), Trivandrum",North_of_Puthenthope,property,20000000,4.02,4978285.71,2-5 km,2.01,Puthenthope Beach,https://www.magicbricks.com/independent-house-for-sale-in-kaniyapuram-trivandrum-pppfs,8.584,76.852
61,Santhipuram4.5c,"Santhipuram, Kazhakkoottam, Trivandrum",North_of_Puthenthope,plot,2070000,4.5,460281.78,1-2 km,1.97,Puthenthope Beach,https://keralarealestate.com,8.583,76.852
62,Santhipuram5c,"Santhipuram, Kazhakkoottam, Trivandrum",North_of_Puthenthope,plot,2300000,5,460000,1-2 km,1.97,Puthenthope Beach,https://keralarealestate.com,8.583,76.852
63,Santhipuram6c,"Santhipuram, Kazhakkoottam, Trivandrum",North_of_Puthenthope,plot,2760000,6,460000,1-2 km,1.97,Puthenthope Beach,https://keralarealestate.com,8.583,76.852
64,OLX-3BHKvilla54L,"St Andrews (Menamkulam), Trivandrum",North_of_Puthenthope,property,5400000,2.75,1960200,0.5-1 km,0.64,St Andrews Beach,https://www.olx.in,8.5639,76.8443
65,OLX-Chitta10cHouse,"Chittattumukku, St Andrews, Trivandrum",North_of_Puthenthope,property,4500000,10,450000,0.5-1 km,0.64,St Andrews Beach,https://www.olx.in,8.5639,76.8443
66,DL-40cBeach,"Puthenthope (Beachfront), Thiruvananthapuram",North_of_Puthenthope,plot,18000000,40,450000,0-0.5 km,0,Puthenthope Beach,https://divinelands.com,8.5767,76.8368
67,DL-1.25acre,"Puthenthope (Beachfront), Thiruvananthapuram",North_of_Puthenthope,plot,43750000,125,350000,0-0.5 km,0,Puthenthope Beach,https://divinelands.com,8.5767,76.8368
68,DL-PerumaLake60c,"Near Perumathura (Kadinamkulam Lakefront), Trivandrum",North_of_Puthenthope,plot,14400000,60,240000,0.5-1 km,0.74,Kadinamkulam Shore,https://divinelands.com,8.6,76.8167
69,DL-Kadinam15cHouse,"Kadinamkulam, Trivandrum",North_of_Puthenthope,property,6000000,15,400036.73,0.5-1 km,0.74,Kadinamkulam Shore,https://divinelands.com,8.6,76.8167
70,KRE-Vettu28cHouse,"Vettuthura, Thiruvananthapuram",North_of_Puthenthope,property,6500000,2.75,2359500,0.5-1 km,0.52,Vettuthura Beach,https://www.keralarealestate.com,8.5833,76.8167
71,Prabha-1.3acre,"Vettuthura (Beach Frontage), Trivandrum",North_of_Puthenthope,plot,65000000,130,500000,0.5-1 km,0.52,Vettuthura Beach,https://thepraba.com/commercial-land-for-sale-in-vettuthura-thiruvananthapuram/,8.5833,76.8167
72,Prabha-1acreHouse,"Vettuthura, Thiruvananthapuram",North_of_Puthenthope,property,10000000,5.51,1815000,0.5-1 km,0.52,Vettuthura Beach,https://thepraba.com,8.5833,76.8167
73,OLX-Kazha15c,"Kazhakkoottam, Thiruvananthapuram",North_of_Puthenthope,plot,1200000,15,80000,2-5 km,3.14,St Andrews Beach,https://www.olx.in,8.571,76.8663
74,OLX-plot8L,"Kazhakkoottam Outskirts, Trivandrum",North_of_Puthenthope,plot,800000,8,100000,2-5 km,3.74,St Andrews Beach,https://www.olx.in,8.568,76.873
75,99acres-4BHK1.1Cr,"Menamkulam (Kazhakkoottam), Trivandrum",North_of_Puthenthope,property,11000000,4.13,2662000,2-5 km,2.18,St Andrews Beach,https://www.99acres.com,8.5646,76.8593
76,Plotid-Vettu15c,"Vettuthura, Channankara, Trivandrum",North_of_Puthenthope,plot,4400000,15,293333.33,1-2 km,1.25,Vettuthura Beach,https://plotid.in,8.588,76.828
77,OLX-Menam5c,"Kalpana Lane, Menamkulam, Trivandrum",North_of_Puthenthope,plot,3500000,5,700000,2-5 km,2.18,St Andrews Beach,https://www.olx.in,8.5646,76.8593
78,OLX-Muruk4c,"Murukkumpuzha Junction, Thiruvananthapuram",North_of_Puthenthope,plot,800000,4,200000,>5 km,5.54,Perumathura Beach,https://www.olx.in,8.66,76.83
79,AAG-Menam23cHouse,"Menamkulam, Trivandrum",North_of_Puthenthope,property,20000000,6.31,3168000,2-5 km,2.18,St Andrews Beach,https://www.aagooz.com,8.5646,76.8593
